"Age" "Points" "gender" "attitude" "deep" "stra" "surf"
"1" 53 25 "F" 3.7 3.58333333333333 3.375 2.58333333333333
"2" 55 12 "M" 3.1 2.91666666666667 2.75 3.16666666666667
"3" 49 24 "F" 2.5 3.5 3.625 2.25
"4" 53 10 "M" 3.5 3.5 3.125 2.25
"5" 49 22 "M" 3.7 3.66666666666667 3.625 2.83333333333333
"6" 38 21 "F" 3.8 4.75 3.625 2.41666666666667
"7" 50 21 "M" 3.5 3.83333333333333 2.25 1.91666666666667
"8" 37 31 "F" 2.9 3.25 4 2.83333333333333
"9" 37 24 "M" 3.8 4.33333333333333 4.25 2.16666666666667
"10" 42 26 "F" 2.1 4 3.5 3
"11" 37 31 "M" 3.9 3.58333333333333 3.625 2.66666666666667
"12" 34 31 "F" 3.8 3.83333333333333 4.75 2.41666666666667
"13" 34 23 "F" 2.4 4.25 3.625 2.25
"14" 34 25 "F" 3 3.33333333333333 3.5 2.75
"15" 35 21 "M" 2.6 4.16666666666667 1.75 2.33333333333333
"17" 33 31 "F" 4.1 3.66666666666667 3.875 2.33333333333333
"18" 32 20 "F" 2.6 4.08333333333333 1.375 2.91666666666667
"19" 44 22 "F" 2.6 3.5 3.25 2.5
"20" 29 9 "M" 1.7 4.08333333333333 3 3.75
"21" 30 24 "F" 2.7 4 3.75 2.75
"22" 27 28 "M" 3.9 3.91666666666667 2.625 2.33333333333333
"23" 29 30 "M" 3.4 4 2.375 2.41666666666667
"24" 31 24 "F" 2.7 4 3.625 3
"25" 37 9 "F" 2.3 3.66666666666667 2.75 2.41666666666667
"26" 26 26 "F" 3.7 3.66666666666667 1.75 2.83333333333333
"27" 26 32 "F" 4.4 4.41666666666667 3.25 3.16666666666667
"28" 30 32 "M" 4.1 3.91666666666667 4 3
"30" 33 33 "F" 3.7 3.75 3.625 2
"31" 33 29 "F" 2.5 3.25 2.875 3.5
"32" 28 30 "M" 3 3.58333333333333 3 3.75
"33" 26 19 "M" 3.4 4.91666666666667 1.625 2.5
"34" 27 23 "F" 3.2 3.58333333333333 3.25 2.08333333333333
"35" 25 19 "F" 2 2.91666666666667 3.5 2.41666666666667
"36" 31 12 "F" 2.4 3.66666666666667 3 2.58333333333333
"37" 20 10 "M" 4.2 4.5 3.25 1.58333333333333
"38" 39 11 "F" 1.6 4.08333333333333 1.875 2.83333333333333
"39" 38 20 "M" 3.1 3.83333333333333 4.375 1.83333333333333
"40" 24 26 "M" 3.8 3.25 3.625 2.41666666666667
"41" 26 31 "M" 3.8 2.33333333333333 2.5 3.25
"42" 25 20 "M" 3.3 3.33333333333333 1.25 3.41666666666667
"43" 30 23 "F" 1.7 4.08333333333333 4 3.41666666666667
"44" 25 12 "F" 2.5 2.91666666666667 3 3.16666666666667
"45" 30 24 "M" 3.2 3.33333333333333 2.5 3.5
"46" 48 17 "F" 3.5 3.83333333333333 4.875 2.66666666666667
"47" 24 29 "F" 3.2 3.66666666666667 5 2.41666666666667
"48" 40 23 "F" 4.2 4.66666666666667 4.375 3.58333333333333
"49" 25 28 "M" 3.1 3.75 3.25 2.08333333333333
"50" 23 31 "F" 3.9 3.41666666666667 4 3.75
"51" 25 23 "F" 1.9 4.16666666666667 3.125 2.91666666666667
"52" 23 25 "F" 2.1 2.91666666666667 2.5 2.91666666666667
"53" 27 18 "M" 2.5 4.16666666666667 3.125 2.41666666666667
"54" 25 19 "M" 3.2 3.58333333333333 3.25 3
"55" 23 22 "M" 3.2 2.83333333333333 2.125 3.41666666666667
"56" 23 25 "F" 2.6 4 2.75 2.91666666666667
"57" 23 21 "F" 2.3 2.91666666666667 2.375 3.25
"58" 45 9 "F" 3.8 3 3.125 3.25
"59" 22 28 "F" 2.8 4.08333333333333 4 2.33333333333333
"60" 23 25 "F" 3.3 2.91666666666667 4 3.25
"61" 21 29 "M" 4.8 3.5 2.25 2.5
"62" 21 33 "M" 4 4.33333333333333 3.25 1.75
"63" 21 33 "F" 4 4.25 3.625 2.25
"64" 21 25 "F" 4.7 3.41666666666667 3.625 2.08333333333333
"65" 26 18 "F" 2.3 3.08333333333333 2.5 2.83333333333333
"66" 25 22 "F" 3.1 4.58333333333333 1.875 2.83333333333333
"67" 26 17 "F" 2.7 3.41666666666667 2 2.41666666666667
"68" 21 25 "M" 4.1 3.41666666666667 1.875 2.25
"70" 23 28 "F" 3.4 3.41666666666667 4 2.83333333333333
"71" 22 22 "F" 2.5 3.58333333333333 2.875 2.25
"72" 22 26 "F" 2.1 1.58333333333333 3.875 1.83333333333333
"73" 22 11 "F" 1.4 3.33333333333333 2.5 2.91666666666667
"74" 23 29 "F" 1.9 4.33333333333333 2.75 2.91666666666667
"75" 22 22 "M" 3.7 4.41666666666667 4.5 2.08333333333333
"77" 23 21 "M" 3.2 4.83333333333333 3.375 2.33333333333333
"78" 24 28 "M" 2.8 3.08333333333333 2.625 2.41666666666667
"79" 22 33 "F" 4.1 3 4.125 2.75
"80" 23 16 "F" 2.5 4.08333333333333 2.625 3.25
"81" 22 31 "M" 2.8 4.08333333333333 2.25 1.75
"82" 20 22 "M" 3.8 3.75 2.75 2.58333333333333
"83" 22 31 "M" 3.1 3.08333333333333 3 3.33333333333333
"84" 21 23 "M" 3.5 4.75 1.625 2.83333333333333
"85" 22 26 "F" 3.6 4.25 1.875 2.5
"86" 23 12 "F" 2.6 4.16666666666667 3.375 2.41666666666667
"87" 21 26 "M" 4.4 4.41666666666667 3.75 2.41666666666667
"88" 22 31 "M" 4.5 3.83333333333333 2.125 2.58333333333333
"89" 29 19 "M" 3.2 3.33333333333333 2.375 3
"91" 29 30 "F" 3.9 3.16666666666667 2.75 2
"92" 21 12 "F" 2.5 3.16666666666667 3.125 3.41666666666667
"93" 28 17 "M" 3.3 3.83333333333333 3.5 2.83333333333333
"95" 21 18 "F" 3.3 4.25 2.625 2.25
"96" 30 19 "F" 3 3.83333333333333 3.375 2.75
"97" 21 21 "F" 2.9 3.66666666666667 2.25 3.91666666666667
"98" 23 24 "M" 3.3 3.83333333333333 3 2.33333333333333
"99" 21 28 "F" 3.3 3.83333333333333 4 2.75
"100" 21 17 "F" 3.5 3.83333333333333 3.5 2.75
"101" 20 18 "F" 3.6 3.66666666666667 2.625 2.91666666666667
"103" 22 17 "M" 3.7 4.33333333333333 2.5 2.08333333333333
"105" 21 23 "M" 4.2 3.75 3.75 3.66666666666667
"107" 21 26 "M" 3.2 4.16666666666667 3.625 2.83333333333333
"108" 20 28 "F" 5 4 4.125 3.41666666666667
"109" 22 31 "M" 4.7 4 4.375 1.58333333333333
"110" 20 27 "F" 3.6 4.58333333333333 2.625 2.91666666666667
"111" 20 25 "F" 3.6 3.66666666666667 4 3
"112" 24 23 "M" 2.9 3.66666666666667 2.75 2.91666666666667
"113" 20 21 "F" 3.5 3.83333333333333 2.75 2.66666666666667
"114" 19 27 "F" 4 2.58333333333333 1.375 3
"115" 21 28 "F" 3.5 3.5 2.25 2.75
"116" 21 23 "F" 3.2 3.08333333333333 3.625 3.08333333333333
"117" 22 21 "F" 2.6 4.25 3.75 2.5
"118" 25 25 "F" 2 3.16666666666667 4 2.33333333333333
"119" 21 11 "F" 2.7 3.08333333333333 3.125 3
"120" 22 19 "F" 3.2 4.16666666666667 3.25 3
"121" 25 24 "F" 3.3 2.25 2.125 4
"122" 20 28 "F" 3.9 3.33333333333333 2.875 3.25
"123" 24 21 "M" 3.3 3.08333333333333 1.5 3.5
"124" 20 24 "F" 3 2.75 2.5 3.5
"125" 21 24 "M" 3.7 3.25 3.25 3.83333333333333
"128" 20 20 "F" 2.5 4 3.625 2.91666666666667
"129" 20 19 "F" 2.9 3.58333333333333 3.875 2.16666666666667
"130" 31 30 "M" 3.9 4.08333333333333 3.875 1.66666666666667
"131" 20 22 "F" 3.6 4.25 2.375 2.08333333333333
"132" 22 16 "F" 2.9 3.41666666666667 3 2.83333333333333
"133" 22 16 "F" 2.1 3.08333333333333 3.375 3.41666666666667
"134" 21 19 "M" 3.1 3.5 2.75 3.33333333333333
"136" 22 30 "M" 4 3.66666666666667 4.5 2.58333333333333
"137" 21 23 "F" 3.1 4.25 2.625 2.83333333333333
"138" 21 19 "F" 2.3 4.25 2.75 3.33333333333333
"139" 21 18 "F" 2.8 3.83333333333333 3.25 3
"140" 21 28 "F" 3.7 4.41666666666667 4.125 2.58333333333333
"141" 20 21 "F" 2.6 3.5 3.375 2.41666666666667
"142" 21 19 "F" 2.4 3.58333333333333 2.75 3.58333333333333
"143" 25 27 "F" 3 3.66666666666667 4.125 2.08333333333333
"146" 21 24 "M" 2.8 2.08333333333333 3.25 4.33333333333333
"147" 24 21 "F" 2.9 4.25 2.875 2.66666666666667
"148" 20 20 "F" 2.4 3.58333333333333 2.875 3
"149" 21 28 "M" 3.1 4 2.375 2.66666666666667
"150" 20 12 "F" 1.9 3.33333333333333 3.875 2.16666666666667
"151" 20 21 "F" 2 3.5 2.125 2.66666666666667
"152" 18 28 "F" 3.8 3.16666666666667 4 2.25
"153" 21 31 "F" 3.4 3.58333333333333 3.25 2.66666666666667
"154" 19 18 "F" 3.7 3.41666666666667 2.625 3.33333333333333
"155" 21 25 "F" 2.9 4.25 2.75 3.5
"156" 20 19 "F" 2.3 3.25 4 2.75
"157" 21 21 "M" 4.1 4.41666666666667 3 2
"158" 20 16 "F" 2.7 3.25 3.375 2.83333333333333
"159" 21 7 "F" 3.5 3.91666666666667 3.875 3.5
"160" 20 21 "F" 3.4 3.58333333333333 3.25 2.5
"161" 18 17 "F" 3.2 4.5 3.375 3.16666666666667
"162" 22 22 "M" 3.3 3.58333333333333 4.125 3.08333333333333
"163" 22 18 "F" 3.3 3.66666666666667 3.5 2.91666666666667
"164" 24 25 "M" 3.5 2.58333333333333 2 3.16666666666667
"165" 19 24 "F" 3.2 4.16666666666667 3.625 2.5
"166" 20 23 "F" 3.1 3.25 3.375 3.83333333333333
"168" 20 23 "F" 2.8 4.33333333333333 2.125 2.25
"169" 17 26 "F" 1.7 3.91666666666667 4.625 3.41666666666667
"170" 19 12 "M" 1.9 2.66666666666667 2.5 3.75
"172" 20 32 "F" 3.5 3.08333333333333 2.875 3
"173" 20 22 "F" 2.4 3.75 2.75 2.58333333333333
"175" 20 20 "F" 2.1 4.16666666666667 4 3.33333333333333
"176" 20 21 "F" 2.9 4.16666666666667 2.375 2.83333333333333
"177" 19 23 "F" 1.9 3.25 3.875 3
"178" 19 20 "F" 2 4.08333333333333 3.375 2.83333333333333
"179" 22 28 "F" 4.2 2.91666666666667 1.75 3.16666666666667
"180" 35 31 "M" 4.1 3.83333333333333 3 2.75
"181" 18 18 "F" 3.7 3.16666666666667 2.625 3.41666666666667
"182" 19 30 "F" 3.6 3.41666666666667 2.625 3
"183" 21 19 "M" 1.8 4.08333333333333 3.375 2.66666666666667
